Time Received,VIN,VIN Search,Tag,Tag Search,Year,Make,Model,Color,Type,Tow Location,Pickup Lot,Time of Tow
02/07/2024 11:54,xxxxxxxxxxxx15097,1C4RJFAG6LC315097,xxxx3512,TPM-3512,2020,JEEP,CHERO,BLACK,PUBLIC,200-BLK W 12ST ST,642 W SOUTHSIDE PLZ,02/07/2024 10:43 AM
02/06/2024 20:56,xxxxxxxxxxxx14249,1C4RJFAG8GC414249,xxx2186,TNV2186,2016,JEEP,GRAND,RED,PRIVATE,0-BLK S HARVIE ST,168 BELT BLVD,02/06/2024 8:56 PM
02/10/2024 02:12,xxxxxxxxxxxx85164,1C4RJFCT8EC385164,xxxx6082,TZJ-6082,2014,JEEP,GR CH,GRY,PUBLIC,4100-BLK HILLCREST RD,642 W SOUTHSIDE PLZ,02/10/2024 2:12 AM
02/07/2024 02:25,xxxxxxxxxxxx15194,1c4sjvbp0rs115194,xxx8953,TLH8953,2024,JEEP,WAGON,BLACK,PRIVATE,1700-BLK COLORADO AVE,5341 OLD MIDLOTHIAN TPKE,02/07/2024 2:24 AM
02/12/2024 01:20,xxxxxxxxxxxx01565,1C4SJVEP4NS201565,xxxx3607,ULE 3607,2022,JEEP,GRAND,BLACK,PUBLIC,E MAIN ST/PEAR ST RICH,642 W SOUTHSIDE PLZ,02/12/2024 12:56 AM
02/09/2024 01:24,xxxxxxxxxxxx64955,1C6RREHT9KN864955,xOEG2,MOEG2,2019,RAM,1500,BLACK,PRIVATE,2400-BLK DOCK ST,1901 RICHMOND HWY,02/09/2024 1:24 AM
02/06/2024 09:07,xxxxxxxxxxxx35698,1C6SRFFTXKN835698,xxx6481,CQF6481,2019,RAM,1500,GRAY,PRIVATE,1600-BLK OVERBROOK RD,4901 WALLER RD,02/06/2024 9:07 AM
02/17/2024 03:29,xxxxxxxxxxxx97101,1d7ha16k64j197101,xxx5524,TNX5524,2004,DODGE,RAM,WHITE,REPO,5900-BLK SWANSON RD,600 DINWIDDIE AVE,02/17/2024 3:29 AM
02/07/2024 00:48,xxxxxxxxxxxx37105,1d7hl48nx4s537105,xxx,N/A,2004,DODGE,DAKOT,BLUE,PRIVATE,1700-BLK COLORADO AVE,5341 OLD MIDLOTHIAN TPKE,02/07/2024 12:47 AM
02/15/2024 00:46,xxxxxxxxxxxx36297,1D7HU18ZX2J136297,xxx,N/A,2002,DODGE,RAM,RED,PUBLIC,BURNS ST/CAROLINA AVE RICH,642 W SOUTHSIDE PLZ,02/15/2024 12:46 AM
02/05/2024 03:20,xxxxxxxxxxxx24406,1D7RV1GP3BS624406,xxx2618,UAU2618,2011,DODGE,RAM,SILVER,PUBLIC,2700-BLK HOPKINS RD,1901 RICHMOND HWY,02/05/2024 1:30 AM
02/10/2024 03:40,xxxxxxxxxxxx71340,1D8HB48N25F571340,xxxx3809,UEP-3809,2005,DODGE,DURAN,GRY,PUBLIC,NICHOLSON ST/WILLIAMSBURG AVE RICH,642 W SOUTHSIDE PLZ,02/10/2024 3:40 AM
02/14/2024 13:35,xxxxxxxxxxxx05447,1D8JB18T69F705447,xxxx8091,UGE-8091,2009,DODGE,DURAN,BLACK,PUBLIC,1200-BLK WALLACE ST,642 W SOUTHSIDE PLZ,02/14/2024 12:58 PM
02/10/2024 22:41,xxxxxxx00891,1E48LFC00891,xxx3654,UHC3654,2020,FORD,F-150,GREY,PRIVATE,900-BLK TERMINAL PL,4839 WALLER RD,02/10/2024 10:20 PM
02/09/2024 05:45,xxxxxxxxxxxx19005,1FA6P0H7XF5119005,xxxx3580,UBP-3580,2015,FORD,FUSIO,BLACK,REPO,100-BLK S 1ST ST,2500 AUSTIN AVE RICHMOND,02/09/2024 5:44 AM
02/08/2024 01:19,xxxxxxxxxxxx16128,1FADP3F20GL216128,xxx4254,UDJ4254,2016,FORD,FOCUS,RED,PRIVATE,900-BLK ST JOHNS WOOD DR,168 BELT BLVD,02/08/2024 1:19 AM
02/05/2024 16:54,xxxxxxxxxxxx80329,1FADP3F20GL280329,xxx4239,VMF4239,2016,FORD,FOCUS,SILVER,PUBLIC,1200-BLK BAINBRIDGE ST,642 W SOUTHSIDE PLZ,02/05/2024 4:53 PM
02/08/2024 02:06,xxxxxxxxxxxx57152,1FADP3F26FL257152,xxx1419,TLW1419,2015,FORD,FOCUS,BLACK,PRIVATE,900-BLK ST JOHNS WOOD DR,168 BELT BLVD,02/08/2024 2:06 AM
02/16/2024 18:12,xxxxxxxxxxxx42906,1FADP3F27FL342906,xxx2688,TRN2688,2015,FORD,FOCUS,SILVER,PUBLIC,1200-BLK E CARY ST,642 W SOUTHSIDE PLZ,02/16/2024 6:11 PM
02/14/2024 02:59,xxxxxxxxxxxx02034,1FADP3F27HL202034,xxx2671,TXA2671,2017,FORD,FOCUS,RED,PRIVATE,2300-BLK E CARY ST,1901 RICHMOND HWY,02/14/2024 2:59 AM
02/18/2024 13:05,xxxxxxxxxxxx16808,1FADP3F29FL316808,xxxRAHA,ONARAHA,2015,FORD,FOCUS,GRAY,PUBLIC,KENSINGTON AVE/N ARTHUR ASHE BLVD RICH,642 W SOUTHSIDE PLZ,02/18/2024 12:04 PM
02/05/2024 20:43,xxxxxxxxxxxx48474,1FADP3K22EL448474,xxx1263,VDH1263,2014,FORD,FOCUS,BLACK,PRIVATE,1600-BLK OVERBROOK RD,4901 WALLER ROAD,02/05/2024 8:42 PM
02/07/2024 03:12,xxxxxxxxxxxx81951,1FADP3K24JL281951,xxM510,35M510,2018,FORD,FOCUS,GRSY,PRIVATE,2300-BLK E CARY ST,1901 RICHMOND HWY,02/07/2024 3:12 AM
02/16/2024 18:48,xxxxxxxxxxxx67993,1FADP3K2XDL267993,xxx1557,TMA1557,2013,FORD,FOCS,GRAY,PUBLIC,BELT BLVD/N SOUTHSIDE PLZ RICH,642 W SOUTHSIDE PLZ,02/16/2024 6:46 PM
02/10/2024 12:16,xxxxxxxxxxxx10249,1FAFP34332W110249,xxxx6361,TZB-6361,2002,FORD,FOCUS,BLUE,PUBLIC,E 29TH ST/MIDLOTHIAN TPKE RICH,642 W SOUTHSIDE PLZ,02/10/2024 12:15 PM
02/10/2024 15:49,xxxxxxxxxxxx65323,1FAFP34NX5W265323,xxxx7230,TWG-7230,2005,FORD,FOCUS,RED,PUBLIC,1900-BLK W CARY ST,642 W SOUTHSIDE PLZ,02/10/2024 2:49 PM
02/15/2024 01:28,xxxxxxxxxxxx23581,1FAFP40413F423581,xx80FC,IB80FC,2003,FORD,MUSTA,SILVER,PRIVATE,900-BLK ST JOHNS WOOD DR,168 BELT BLVD,02/15/2024 1:28 AM
02/07/2024 14:08,xxxxxxxxxxxx59240,1FAFP53U56A259240,xxxx6641,TYK-6641,2006,FORD,TAU,BLUE,PUBLIC,100-BLK E 15TH ST,642 W SOUTHSIDE PLZ,02/07/2024 2:04 PM
02/09/2024 10:52,xxxxxxxxxxxx54473,1FAFP53U76A154473,0000,0000,2006,FORD,TAURU,BLUE,PUBLIC,N 22ND ST/E MARSHALL ST RICH,642 W SOUTHSIDE PLZ,02/09/2024 10:50 AM
02/10/2024 16:58,xxxxxxxxxxxx17802,1FAFP53U83A117802,xxx1580,TLP1580,2003,FORD,TAURU,SILVER,PRIVATE,1300-BLK E MAIN ST,1901 RICHMOND HWY,02/10/2024 4:58 PM
02/07/2024 10:16,xxxxxxxxxxxx24827,1FAFP55U64A124827,xxxx6214,VTX-6214,2004,FORD,TAURU,TAN,PUBLIC,100-BLK E 7TH ST,642 W SOUTHSIDE PLZ,02/07/2024 8:40 AM
02/14/2024 19:20,xxxxxxxxxxxx23776,1FAFP6635YK123776,xxx9744,UBT9744,1999,FORD,ESCOR,BLUE,PRIVATE,900-BLK W GRACE ST,1740 E BELT BLVD,02/14/2024 5:07 PM
02/09/2024 10:04,xxxxxxxxxxxx30389,1FAHP2D87HG130389,xxx5542,SEG5542,2017,FORD,TAURU,GRAY,PUBLIC,1100-BLK E MAIN ST,642 W SOUTHSIDE PLZ,02/09/2024 10:01 AM
02/08/2024 04:30,xxxxxxxxxxxx16341,1FAHP2E87DG116341,xxx4674,TZV4674,2013,FORD,TAURU,WHITE,PRIVATE,2200-BLK RUFFIN RD,1901 RICHMOND HWY,02/08/2024 4:30 AM
02/10/2024 05:36,xxxxxxxxxxxx02506,1FAHP2F83HG102506,xxORBY,4CORBY,2017,FORD,TAURU,RED,PRIVATE,3200-BLK CHAMBERLAYNE AVE,8675 TELEGRAPH RD,02/10/2024 5:36 AM
02/12/2024 21:24,xxxxxxxxxxxx08102,1FAHP2MK0FG208102,xx3RVE,IS3RVE,2015,FORD,TAURU,GRAY,PUBLIC,E BROAD ST/N 1ST ST RICH,642 W SOUTHSIDE PLZ,02/12/2024 9:09 PM
02/05/2024 03:18,xxxxxxxxxxxx28129,1FAHP3?27CL328129,xxx2105,TLC2105,2012,FORD,FOCUS,BLUE,PUBLIC,700-BLK STOCKTON ST,1901 RICHMOND HWY,02/05/2024 1:08 AM
02/16/2024 02:22,xxxxxxxxxxxx62358,1FAHP34N27W162358,x1S10,91S10,2008,FORD,FUSIO,BLUE,PRIVATE,2500-BLK ATWELL DR,11THURMAN ST,02/16/2024 2:22 AM
02/14/2024 19:52,xxxxxxxxxxxx56435,1FAHP34N66W256435,xx5492,M95492,6,FORD,FOCUS,RED,PRIVATE,900-BLK N LOMBARDY ST,4839 WALLER RD,02/14/2024 7:35 PM
02/15/2024 04:27,xxxxxxxxxxxx76153,1FAHP3EN9AW276153,xx8621,298621,2010,FORD,FOCUS,RED,PRIVATE,1700-BLK CLARKSON RD,1901 RICHMOND HWY,02/15/2024 4:27 AM
02/12/2024 07:27,xxxxxxxxxxxx19548,1FAHP3F26CL319548,xxx8374,TVC8374,2012,FORD,FOCUS,BLACK,PRIVATE,3200-BLK CHAMBERLAYNE AVE,8675 TELEGRAPH RD,02/12/2024 7:27 AM
02/07/2024 20:09,xxxxxxxxxxxx41404,1FAHP3FN2BW141404,xxxx5737,TPU-5737,2011,FORD,FOCUS,RED,PUBLIC,1600-BLK HICKORY ST,642 W SOUTHSIDE PLZ,02/07/2024 8:09 PM
02/10/2024 19:57,xxxxxxxxxxxx94052,1FAHP3FN9BW194052,xxxx3692,JFV-3692,2011,FORD,FOCUS,RED,PUBLIC,W 21 ST/SEMMES AVE RICH,642 W SOUTHSIDE PLZ,02/10/2024 7:10 PM
02/08/2024 23:30,xxxxxxxxxxxx65473,1FAHP3J21CL365473,xxx5245,TBQ5245,2012,FORD,FOCUS,GREY,REPO,4100-BLK RICHMOND HWY,600 DINWIDDIE AVE,02/08/2024 11:30 PM
02/17/2024 16:23,xxxxxxxxxxxx26818,1FAHP3K20CL126818,xxx6753,TLZ6753,2012,FORD,FOCUS,BLACK,PRIVATE,100-BLK W FRANKLIN ST,168 EAST BELT BOULEVARD,02/17/2024 4:23 PM
02/15/2024 07:06,xxxxxxxxxxxx98760,1FAHP3N25CL298760,xx71NF,1371NF,2012,FORD,FOCUS,GRY,PUBLIC,1500-BLK ST JAMES ST,642 W SOUTHSIDE PLZ,02/15/2024 7:05 AM
02/15/2024 01:34,xxxxxxxxxxxx39687,1FATP8UH3L5139687,xxx8331,TPE8331,2020,FORD,MUSTA,GRAY,PRIVATE,2400-BLK DOCK ST,1901 RICHMOND HWY,02/15/2024 1:34 AM
02/12/2024 01:42,xxxxxxxxxxxx61649,1FATP8UH8K5161649,xxx3275,TSR3275,2019,FORD,MUSTA,WHITE,PUBLIC,700-BLK STOCKTON ST,1901 RICHMOND HWY,02/11/2024 11:56 PM
02/05/2024 17:41,xxxxxxxxxxxx26887,1FBVU4X87PKB26887,xxx-260,WYM-260,2023,FORD,TRANS,WHITE,PUBLIC,200-BLK W HILL ST,642 W SOUTHSIDE PLZ,02/05/2024 2:40 PM
02/07/2024 14:13,xxxxxxxxxxxx72004,1FDKE37F6SHA72004,xxxx-848,UB18-848,1995,FORD,E350,WHITE,PUBLIC,800-BLK S 21ST ST,642 W SOUTHSIDE PLZ,02/07/2024 12:54 PM
02/15/2024 04:03,xxxxxxxxxxxx28419,1FDWE35PX6DA28419,xxx8695,UFV8695,2006,FORD,E-350,WHITE,PRIVATE,2700-BLK HOPKINS RD,1901 RICHMOND HWY,02/15/2024 4:03 AM
02/06/2024 13:09,xxxxxxxxxxxx63892,1FM7W2B68FEC63892,xxx4285,VJU4285,2015,FORD,F250,WHITE,PUBLIC,3400-BLK PARKWOOD AVE,4839 WALLER RD,02/06/2024 12:08 PM
02/11/2024 21:50,xxxxxxxxxxx26092,1FMCU0279KA26092,xxxx8167,XUE 8167,2009,FORD,4DOOR,BLACK,PRIVATE,3600-BLK W B,1200 BENTLEY,02/11/2024 9:50 PM
02/06/2024 07:03,xxxxxxxxxxxx61109,1fmcu04153ka61109,xxx6627,TWN6627,2003,FORD,ESCAP,BLACK,PRIVATE,1600-BLK MECHANICSVILLE TPKE,4815 HANOVER RD,02/06/2024 2:47 AM
02/15/2024 22:08,xxxxxxxxxxxx11594,1FMCU0D79CKB11594,xxxx9312,TPM-9312,2012,FORD,ESCAP,GRY,PUBLIC,RICHMOND HWY/MAURY ST RICH: alias JEFF DAVIS HWY/MAURY ST RICH,642 W SOUTHSIDE PLZ,02/15/2024 10:01 PM
02/14/2024 20:40,xxxxxxxxxxxx30536,1FMCU0F79FUA30536,xxx1715,TMC1715,15,FORD,ESCAP,GREY,PRIVATE,900-BLK N LOMBARDY ST,4839 WALLER RD,02/14/2024 8:10 PM
02/09/2024 11:27,xxxxxxxxxxxx97352,1FMCU0G96EUA97352,xxxALSA,PRSALSA,2014,FORD,ESCAP,RED,PUBLIC,N 22ND ST/E MARSHALL ST RICH,642 W SOUTHSIDE PLZ,02/09/2024 11:27 AM
02/17/2024 22:29,xxxxxxxxxxxx46692,1FMCU0HD2JUC46692,xxx6505,UCX6505,18,FORD,ESCAP,GREY,PRIVATE,900-BLK TERMINAL PL,4839 WALLER RD,02/17/2024 10:10 PM
02/14/2024 08:51,xxxxxxxxxxxx65483,1fmcu9gxoeua65483,xxx3658,KJW3658,2014,FORD,ESCAP,BLACK,PRIVATE,6000-BLK WILLOW OAKS DR,15 HANOVER RD,02/14/2024 6:37 AM
02/10/2024 10:27,xxxxxxxxxxxx65665,1FMCU9H92NUB65665,xxx2615,KDH2615,22,FORD,ESCAP,SILVER,PRIVATE,3000-BLK W MARSHALL ST,4901 WALLER RD,02/10/2024 10:27 AM
02/07/2024 01:06,xxxxxxxxxxxx51588,1FMCU9J93NUB51588,xxx3224,TRG3224,2022,FORD,ESCAP,RED,REPO,2500-BLK PHAUP ST,4839WALLERRD,02/07/2024 1:06 AM
02/08/2024 00:18,xxxxxxxxxxxx94798,1FMCUOF76JUA94798,xxxx3186,UEG 3186,2018,FORD,4DOOR,BLACK,PRIVATE,700-BLK W CARY ST,1200 BENTLEY  ST,02/08/2024 12:17 AM
02/10/2024 06:10,xxxxxxxxxxxx16437,1FMDK03107GA16437,xxx2348,TLN2348,2007,FORD,FREES,GRAY,PRIVATE,3200-BLK CHAMBERLAYNE AVE,8675 TELEGRAPH RD,02/10/2024 6:09 AM
02/15/2024 09:02,xxxxxxxxxxxx57219,1FMEU73898UA57219,xxxxHA T,TO-THA T,2008,FORD,EXPLO,BLACK,PUBLIC,1400-BLK MINEFEE ST,642 W SOUTHSIDE PLZ,02/15/2024 8:00 AM
02/14/2024 04:16,xxxxxxxxxxxx75386,1FMEU74E47UA75386,xx1RCY,F31RCY,2007,FORD,EXPLO,BLUE,PUBLIC,4600-BLK SOUTHWOOD PKWY,1901 RICHMOND HWY,02/14/2024 4:16 AM
02/14/2024 04:17,xxxxxxxxxxxx59500,1fmhk8f85cga59500,xxR35H,DFR35H,2012,FORD,EXPLO,BLUE,REPO,200-BLK N 21ST ST,"2500, AUSTIN AVENUE",02/14/2024 4:17 AM
02/15/2024 04:31,xxxxxxxxxxxx52881,1FMJK1H59AEB52881,xxxXXXX,XXXXXXX,2010,FORD,EXPED,MAROON,REPO,200-BLK PLAZAVIEW RD,600 DINWIDDIE AVE,02/15/2024 4:27 AM
02/07/2024 20:08,xxxxxxxxxxxx54522,1FMJU2A5XDEF54522,xx,54,2013,FORD,EXPED,GRAY,PUBLIC,DECATUR ST/COMMERCE RD RICH,642 W SOUTHSIDE PLZ,02/07/2024 8:07 PM
02/14/2024 22:13,xxxxxxxxxxxx54874,1FMYU02164KA54874,xxx1922,TWE1922,2004,FORD,ESCAP,SILVER,PRIVATE,1600-BLK MONUMENT AVE,1901 RICHMOND HWY,02/14/2024 10:12 PM
02/05/2024 17:44,xxxxxxxxxxxx02568,1FMYU93156KD02568,xxx9122,UGK9122,2006,FORD,ESCAP,RED,PUBLIC,2300-BLK FAIRFAX AVE,642 W SOUTHSIDE PLZ,02/05/2024 5:44 PM
02/10/2024 01:55,xxxxxxxxxxxx42374,1FMZU72E32UC42374,xxx9862,TLU9862,2008,FORD,EXPLO,GOLD,PRIVATE,2500-BLK ATWELL DR,11THURMAN ST,02/10/2024 1:55 AM
02/08/2024 19:28,xxxxxxxxxxxx27951,1FTDF15Y3MNA27951,xxxx3895,VKE-3895,1991,FORD,F150,GRAY,PUBLIC,1500-BLK MECHANICSVILLE TPKE,6423 ROSELAWN RD,02/08/2024 7:28 PM
02/06/2024 12:58,xxxxxxxxxxxx47318,1FTEW1E59KFB47318,xxxx4408,UMD-4408,2019,FORD,F150,BLUE,PUBLIC,1400-BLK PORTER ST,642 W SOUTHSIDE PLAZA DRIVE,02/06/2023 9:27 AM
02/15/2024 12:01,xxxxxxxxxxxx00718,1FTEX15Y3TKA00718,xxxx1986,UHA-1986,1996,FORD,F150,GREEN,PUBLIC,3400-BLK KEIGHLY RD,642 W SOUTHSIDE PLZ,02/15/2024 12:00 PM
02/13/2024 23:39,xxxxxxxxxxxx3E467,1FTEX1CM4BFD3E467,xxx9506,XAC9506,11,FORD,F-150,WHITE,PRIVATE,900-BLK N LOMBARDY ST,4839 WALLER RD,02/13/2024 11:20 PM
02/12/2024 23:29,xxxxxxxxxxxx18052,1FTFW1E58KKC18052,xxxx1359,TTU-1359,2019,FORD,F150,WHITE,REPO,1100-BLK S LOMBARDY ST,8120 SHELL RD CHESTERFIELD,02/12/2024 11:00 PM
02/14/2024 07:06,xxxxxxxxxxxx50916,1FTFW1E64BFB50916,xxxLVU2,SLYLVU2,2011,FORD,F150,BLU,PUBLIC,E 4TH ST/ALBANY AVE RICH,642 W SOUTHSIDE PLZ,02/14/2024 7:05 AM
